,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,SHEL240126P00053000,53.0,0.08,0.0,0.15,60,0.001415
1,SHEL240126P00054000,54.0,0.1,0.0,0.15,87,0.001389
2,SHEL240126P00057000,57.0,0.05,0.0,0.75,0,0.006579
3,SHEL240126P00058000,58.0,0.2,0.0,1.35,1,0.011638
4,SHEL240126P00059000,59.0,0.01,0.0,0.5,1,0.004237
5,SHEL240126P00060000,60.0,0.02,0.0,0.05,25,0.000417
6,SHEL240126P00061000,61.0,0.03,0.0,0.75,44,0.006148
7,SHEL240126P00062000,62.0,0.17,0.0,0.05,44,0.000403
8,SHEL240126P00063000,63.0,0.4,0.2,0.3,1,0.003968
9,SHEL240126P00064000,64.0,2.48,1.15,1.3,1,0.019141
10,SHEL240126P00065000,65.0,3.7,2.15,2.3,35,0.034231
11,SHEL240126P00066000,66.0,4.5,3.1,3.3,7,0.048485
12,SHEL240126P00067000,67.0,5.5,4.1,4.3,102,0.062687
13,SHEL240126P00068000,68.0,5.15,5.1,5.3,1,0.076471
14,SHEL240126P00070000,70.0,8.87,7.1,7.3,2,0.102857
